MODEL_RUN_ID,FEATURE_NAME,POSITIVE_COUNT,TOTAL_ROWS,POSITIVE_RATE_PERCENT
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_12,79062,1250233,6.323781247
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,race_other race,56519,1250233,4.520677346
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_breast_cancer,50458,1250233,4.035887711
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_pressure_and_chronic_ulcers,44133,1250233,3.529982011
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Ohio,42917,1250233,3.432720141
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_drug_use_disorders,38245,1250233,3.059029797
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_bipolar_disorder,35132,1250233,2.810036209
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_rheumatoid_arthritis,32291,1250233,2.582798566
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_100,30618,1250233,2.448983509
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_55,28786,1250233,2.302450823
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Wisconsin,22033,1250233,1.762311505
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Kentucky,17771,1250233,1.421415048
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_schizophrenia,16546,1250233,1.323433312
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_cancer_colorectal,16447,1250233,1.315514788
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Oregon,15983,1250233,1.278401706
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_9,15600,1250233,1.247767416
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,state_Kansas,15142,1250233,1.211134245
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_103,14557,1250233,1.164342966
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_posttraumatic_stress_disorder,14358,1250233,1.148425933
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_personality_disorders,13321,1250233,1.065481394
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_75,12521,1250233,1.001493322
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hip_pelvic_fracture,11386,1250233,0.9107102436
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_intellectual_disabilities_and_related_conditions,11346,1250233,0.90751084
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_188,10769,1250233,0.8613594426
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_attention_deficithyperactivity_disorder,8905,1250233,0.7122672334
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_28,8168,1250233,0.6533182215
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_99,5338,1250233,0.4269604146
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_sensory_blindness_and_visual_impairment,4532,1250233,0.3624924314
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_autism_spectrum_disorders,4206,1250233,0.3364172918
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cond_multiple_myeloma,3622,1250233,0.2897059988
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_82,2919,1250233,0.23347648
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hepatitis_b_acute_or_unspecified,1280,1250233,0.1023809162
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_cms_hepatitis_a,312,1250233,0.02495534832
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_83,130,1250233,0.0103980618
9fcabfc2-faee-4d32-8096-aad08a5c1a8f,lag_hcc_166,65,1250233,0.005199030901
